Linux 3.10.0-230.el7.x86_64 (perf10.perf.lab.eng.bos.redhat.com) 	08/05/15 	_x86_64_	(40 CPU)

15:07:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:08:07      27    2.70    0.00    4.73    0.00    0.00    0.34    0.00    1.01    0.00   91.22
15:08:07      28    0.00    0.00    1.33    0.00    0.00    0.33    0.00    0.33    0.00   98.00
15:08:07      29    1.69    0.00    3.73    0.00    0.00    0.00    0.00    1.36    0.00   93.22
15:08:07      30    0.34    0.00    1.68    0.00    0.00    0.00    0.00    1.68    0.00   96.30
15:08:07      31    1.71    0.00    3.75    0.00    0.00    0.00    0.00    1.71    0.00   92.83
15:08:07      32    0.00    0.00    2.34    0.00    0.00    0.00    0.00    3.68    0.00   93.98
15:08:07      33    2.34    0.00    4.35    0.00    0.00    0.33    0.00    1.67    0.00   91.30
15:08:07      34    0.00    0.00    1.34    0.00    0.00    0.00    0.00    0.67    0.00   97.99
15:08:07      35    2.03    0.00    3.72    0.00    0.00    0.00    0.00    1.35    0.00   92.91
15:08:07      36    0.34    0.00    1.68    0.00    0.00    0.00    0.00    3.03    0.00   94.95
15:08:07      37    2.03    0.00    3.72    0.00    0.00    0.00    0.00    2.03    0.00   92.23
15:08:07      38    0.34    0.00    1.34    0.00    0.00    0.00    0.00    0.67    0.00   97.65
15:08:07      39    2.36    0.00    4.04    0.00    0.00    0.00    0.00    1.35    0.00   92.26

15:08:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:08:10     all    4.63    0.00    8.94    0.01    0.00    0.75    0.00    4.08    0.00   81.60
15:08:10       0    1.74    0.00    8.36    0.00    0.00    0.00    0.00    6.62    0.00   83.28
15:08:10       1   10.28    0.00   20.21    0.00    0.00    1.42    0.00    8.16    0.00   59.93
15:08:10       2    1.40    0.00    7.69    0.00    0.00    0.00    0.00    5.59    0.00   85.31
15:08:10       3   10.18    0.00   20.35    0.00    0.00    1.75    0.00    8.42    0.00   59.30
15:08:10       4    1.03    0.00    8.22    0.00    0.00    0.00    0.00    7.19    0.00   83.56
15:08:10       5    9.44    0.00   20.28    0.00    0.00    1.75    0.00    9.44    0.00   59.09
15:08:10       6    0.68    0.00    8.84    0.00    0.00    0.00    0.00    7.14    0.00   83.33
15:08:10       7    9.89    0.00   19.43    0.00    0.00    1.41    0.00    9.19    0.00   60.07
15:08:10       8   28.25    0.00   25.28    0.00    0.00   13.75    0.00    0.37    0.00   32.34
15:08:10       9    9.79    0.00   19.58    0.00    0.00    1.75    0.00    9.79    0.00   59.09
15:08:10      10   13.51    0.00   15.20    0.00    0.00    0.34    0.00    2.70    0.00   68.24
15:08:10      11    9.86    0.00   20.07    0.00    0.00    2.11    0.00    8.45    0.00   59.51
15:08:10      12    7.07    0.00   12.79    0.00    0.00    0.00    0.00    4.04    0.00   76.09
15:08:10      13   11.19    0.00   18.41    0.00    0.00    1.08    0.00    9.03    0.00   60.29
15:08:10      14    4.84    0.00   10.03    0.00    0.00    0.00    0.00    4.50    0.00   80.62
15:08:10      15   10.76    0.00   20.14    0.00    0.00    2.43    0.00    7.99    0.00   58.68
15:08:10      16    3.08    0.00    9.59    0.00    0.00    0.00    0.00    5.48    0.00   81.85
15:08:10      17   10.25    0.00   19.08    0.00    0.00    1.41    0.00   10.60    0.00   58.66
15:08:10      18    2.42    0.00    8.65    0.00    0.00    0.00    0.00    5.88    0.00   83.04
15:08:10      19   10.00    0.00   19.64    0.00    0.00    1.79    0.00    8.21    0.00   60.36
15:08:10      20    0.00    0.00    1.67    0.00    0.00    0.00    0.00    1.00    0.00   97.32
15:08:10      21    2.73    0.00    3.07    0.00    0.00    0.00    0.00    1.37    0.00   92.83
15:08:10      22    0.00    0.00    1.99    0.00    0.00    0.00    0.00    1.00    0.00   97.01
15:08:10      23    2.03    0.00    3.73    0.00    0.00    0.00    0.00    2.03    0.00   92.20
15:08:10      24    0.33    0.00    1.67    0.00    0.00    0.00    0.00    0.00    0.00   98.00
15:08:10      25    2.36    0.00    3.38    0.00    0.00    0.00    0.00    2.03    0.00   92.23
15:08:10      26    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.67    0.00   98.32
15:08:10      27    2.04    0.00    4.76    0.00    0.00    0.00    0.00    1.70    0.00   91.50
15:08:10      28    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.33
15:08:10      29    1.70    0.00    4.08    0.00    0.00    0.00    0.00    2.04    0.00   92.18
15:08:10      30    0.00    0.00    1.33    0.00    0.00    0.00    0.00    0.33    0.00   98.34
15:08:10      31    2.70    0.00    3.72    0.00    0.00    0.00    0.00    1.35    0.00   92.23
15:08:10      32    0.00    0.00    1.00    0.00    0.00    0.00    0.00    1.34    0.00   97.66
15:08:10      33    2.36    0.00    3.70    0.00    0.00    0.00    0.00    3.03    0.00   90.91
15:08:10      34    0.33    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.66
15:08:10      35    2.35    0.00    4.36    0.00    0.00    0.34    0.00    2.35    0.00   90.60
15:08:10      36    0.00    0.00    1.68    0.00    0.00    0.00    0.00    0.67    0.00   97.65
15:08:10      37    2.35    0.00    5.03    0.00    0.00    0.34    0.00    1.01    0.00   91.28
15:08:10      38    0.00    0.00    2.01    0.00    0.00    0.00    0.00    2.01    0.00   95.99
15:08:10      39    1.69    0.00    4.07    0.00    0.00    0.00    0.00    2.03    0.00   92.20

15:08:10     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:08:13     all    4.53    0.00    8.76    0.00    0.00    0.67    0.00    4.10    0.00   81.94
15:08:13       0    1.05    0.00    7.67    0.00    0.00    0.00    0.00    6.97    0.00   84.32
15:08:13       1    9.96    0.00   19.22    0.00    0.00    1.42    0.00    9.61    0.00   59.79
15:08:13       2    1.72    0.00    7.56    0.00    0.00    0.00    0.00    6.87    0.00   83.85
15:08:13       3   10.53    0.00   20.35    0.00    0.00    1.05    0.00    9.47    0.00   58.60
15:08:13       4    1.36    0.00    8.50    0.00    0.00    0.00    0.00    6.46    0.00   83.67
15:08:13       5   10.36    0.00   20.71    0.00    0.00    1.43    0.00    7.86    0.00   59.64
15:08:13       6    1.37    0.00    7.85    0.00    0.00    0.00    0.00    8.19    0.00   82.59
15:08:13       7   10.49    0.00   19.93    0.00    0.00    1.75    0.00    8.74    0.00   59.09
15:08:13       8   29.48    0.00   25.00    0.00    0.37   13.81    0.00    0.75    0.00   30.60
15:08:13       9    9.96    0.00   20.28    0.00    0.00    1.42    0.00    9.25    0.00   59.07
15:08:13      10   12.37    0.00   14.43    0.00    0.00    0.00    0.00    2.41    0.00   70.79
15:08:13      11    9.93    0.00   20.57    0.00    0.00    1.06    0.00    9.93    0.00   58.51
15:08:13      12    7.29    0.00   10.42    0.00    0.00    0.00    0.00    3.47    0.00   78.82
15:08:13      13    9.82    0.00   20.35    0.00    0.00    1.75    0.00    9.47    0.00   58.60
15:08:13      14    4.47    0.00    8.93    0.00    0.00    0.00    0.00    4.81    0.00   81.79
15:08:13      15   10.92    0.00   20.07    0.00    0.00    1.06    0.00    8.80    0.00   59.15
15:08:13      16    2.75    0.00    8.59    0.00    0.00    0.00    0.00    5.50    0.00   83.16
15:08:13      17    9.71    0.00   19.42    0.00    0.00    1.44    0.00    8.99    0.00   60.43
15:08:13      18    1.71    0.00    8.53    0.00    0.00    0.00    0.00    6.48    0.00   83.28
15:08:13      19   10.56    0.00   20.07    0.00    0.00    1.41    0.00    9.15    0.00   58.80
15:08:13      20    0.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.00
15:08:13      21    1.35    0.00    4.05    0.00    0.00    0.00    0.00    2.36    0.00   92.23
15:08:13      22    0.33    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.66
15:08:13      23    2.03    0.00    4.05    0.00    0.00    0.00    0.00    1.69    0.00   92.23
15:08:13      24    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.34    0.00   98.66
15:08:13      25    2.03    0.00    3.39    0.00    0.00    0.00    0.00    2.37    0.00   92.20
15:08:13      26    0.34    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   98.32
15:08:13      27    2.36    0.00    5.05    0.00    0.00    0.00    0.00    1.01    0.00   91.58
15:08:13      28    0.34    0.00    0.67    0.00    0.00    0.00    0.00    0.67    0.00   98.32
15:08:13      29    2.36    0.00    4.04    0.00    0.00    0.00    0.00    1.68    0.00   91.92
15:08:13      30    0.34    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.99
15:08:13      31    1.68    0.00    4.03    0.00    0.00    0.00    0.00    2.01    0.00   92.28
15:08:13      32    0.33    0.00    0.67    0.00    0.00    0.00    0.00    0.67    0.00   98.33
15:08:13      33    2.01    0.00    4.03    0.00    0.00    0.00    0.00    2.35    0.00   91.61
15:08:13      34    0.33    0.00    1.34    0.00    0.00    0.00    0.00    1.67    0.00   96.66
15:08:13      35    1.70    0.00    2.72    0.00    0.00    0.00    0.00    1.70    0.00   93.88
15:08:13      36    0.34    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   98.99
15:08:13      37    2.36    0.00    3.38    0.00    0.00    0.00    0.00    1.69    0.00   92.57
15:08:13      38    0.33    0.00    1.34    0.00    0.00    0.00    0.00    0.33    0.00   97.99
15:08:13      39    2.03    0.00    3.05    0.00    0.00    0.00    0.00    2.37    0.00   92.54

15:08:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:08:16     all    4.49    0.00    8.70    0.00    0.00    0.66    0.00    3.91    0.00   82.24
